cirID,s_topic,s_temporal,s_author
0,0.012728921917665944,0.0,0.019619504696747763
1,0.01591115239708243,0.0,0.019619504696747763
2,0.01591115239708243,0.0,0.014568803033770568
3,0.012728921917665944,0.0,0.01748256364052468
4,0.01591115239708243,0.0,0.014568803033770568
5,0.01591115239708243,0.0,0.015857326615048385
6,0.01591115239708243,0.037131648212343445,0.01571448935348744
7,0.01591115239708243,0.0,0.01574596534696949
8,0.010607434931388285,0.0,0.020359190543575923
9,0.010607434931388285,0.0,0.022255121112997843
10,0.010607434931388285,0.0,0.02228580024588541
11,0.01591115239708243,0.0,0.014568803033770568
12,0.01591115239708243,0.037131648212343445,0.013982114421083002
13,0.01591115239708243,0.0,0.014013590414565052
14,0.010607434931388285,0.0,0.018626815611171486
15,0.010607434931388285,0.0,0.020522746180593406
16,0.010607434931388285,0.0,0.020553425313480977
17,0.01591115239708243,0.0,0.015857326615048385
18,0.012728921917665944,0.0,0.01902879193805806
19,0.01591115239708243,0.0,0.014568803033770568
20,0.01591115239708243,0.0,0.015857326615048385
21,0.01591115239708243,0.037131648212343445,0.0173492488630678
22,0.01591115239708243,0.0,0.01738072485654985
23,0.010607434931388285,0.0,0.02199395005315628
24,0.010607434931388285,0.0,0.023889880622578203
25,0.010607434931388285,0.0,0.023920559755465774
26,0.01591115239708243,0.0,0.017164177989999294
27,0.01591115239708243,0.0,0.015202307206383965
28,0.01591115239708243,0.0,0.017657434697983813
29,0.012728921917665944,0.0,0.021188921637580575
30,0.01591115239708243,0.0,0.01722294645884236
31,0.012728921917665944,0.0,0.023021780690949227
32,0.012728921917665944,0.0,0.020667535750610835
33,0.010607434931388285,0.037131648212343445,0.02149272473922694
34,0.010607434931388285,0.0,0.021524200732708988
35,0.005303717465694142,0.0,0.026137425929315422
36,0.005303717465694142,0.0,0.028033356498737342
37,0.005303717465694142,0.0,0.02806403563162491
38,0.005303717465694142,0.023701575714860847,0.02297707681159877
39,0.010607434931388285,0.02037436709368312,0.014358431836827251
40,0.010607434931388285,0.02037436709368312,0.014358431836827251
41,0.012728921917665944,0.0,0.019619504696747763
42,0.007955576198541215,0.0,0.024524380870934705
43,0.010607434931388285,0.0,0.025832228321628715
44,0.010607434931388285,0.0,0.023870357538013386
45,0.01591115239708243,0.037131648212343445,0.01620376175849955
46,0.01591115239708243,0.037131648212343445,0.017492285339777366
47,0.01591115239708243,0.037131648212343445,0.019292393422712797
48,0.01591115239708243,0.037131648212343445,0.02081977596718667
49,0.01591115239708243,0.037131648212343445,0.01885790518357134
50,0.01591115239708243,0.037131648212343445,0.017984545972018783
51,0.012728921917665944,0.04455797785481213,0.021581455166422542
52,0.01591115239708243,0.037131648212343445,0.01620376175849955
53,0.012728921917665944,0.04455797785481213,0.019444514110199457
54,0.01591115239708243,0.037131648212343445,0.01620376175849955
55,0.01591115239708243,0.037131648212343445,0.017492285339777366
56,0.01591115239708243,0.037131648212343445,0.01620376175849955
57,0.01591115239708243,0.037131648212343445,0.017492285339777366
58,0.012728921917665944,0.04455797785481213,0.02099074240773284
59,0.01591115239708243,0.037131648212343445,0.017984545972018783
